lng,lat,codigo,nombre,dept,muni
-89.3536111111111,13.7263888888889,11039,CENTRO ESCOLAR COLONIA LAS MORITAS CANTON LAS MORAS,LA LIBERTAD,COLÓN
-89.2858333333333,13.6713888888889,20201,COLEGIO SANTA INES,LA LIBERTAD,SANTA TECLA
-89.2919444444444,13.6752777777778,21354,COLEGIO INFANCIA FELIZ,LA LIBERTAD,SANTA TECLA
-89.255225,13.7587222222222,70096,"CENTRO ESCOLAR CASERIO FINCA SANTA ISABEL, CANTON SAN JERONIMO LOS PLANES",SAN SALVADOR,NEJAPA
-89.1796,13.6835722222222,11562,CENTRO ESCOLAR COLONIA ESMERALDA,SAN SALVADOR,SAN SALVADOR
-89.2125,13.6994444444444,11640,COMPLEJO EDUCATIVO CAPITAN GENERAL GERARDO BARRIOS,SAN SALVADOR,SAN SALVADOR
-89.2091666666667,13.6888888888889,11648,CENTRO ESCOLAR REPUBLICA DE HONDURAS,SAN SALVADOR,SAN SALVADOR
-89.1811111111111,13.7077777777778,11641,CENTRO ESCOLAR CONSTITUCION 1950,SAN SALVADOR,SAN SALVADOR
-89.2236111111111,13.6977777777778,20483,COLEGIO SALVADOREÑO ESPAÑOL,SAN SALVADOR,SAN SALVADOR
-89.1738361111111,13.7042,20606,INSTITUTO TECNICO OBRERO EMPRESARIAL DON BOSCO,SAN SALVADOR,SAN SALVADOR
-89.199675,13.6841388888889,88046,CENTRO ESCOLAR CATOLICO CORAZON DE MARIA,SAN SALVADOR,SAN SALVADOR
-88.8428238203888,13.8443803456731,88177,CENTRO ESCOLAR CATOLICO NUESTRA SEÑORA DE LOS DESAMPARADOS,CABAÑAS,ILOBASCO
-88.7759166666667,14.1010833333333,86218,CENTRO ESCOLAR CASERIO LOS SICAHUITES CANTON TEOSINTE,CHALATENANGO,ARCATAO
-88.9571388888889,14.0800555555556,66018,CENTRO ESCOLAR CANTON OLOSINGO,CHALATENANGO,CONCEPCIÓN QUEZALTEPEQUE
-88.9213333333333,14.0263611111111,60319,CENTRO ESCOLAR CASERIO EL AGUACATILLO CANTON CHIAPAS,CHALATENANGO,CHALATENANGO
-89.1469722222222,14.2874722222222,10857,CENTRO ESCOLAR CASERIO EL ZARZAL,CHALATENANGO,LA PALMA
-89.4372222222222,13.6841666666667,11071,CENTRO ESCOLAR COOPERATIVA EL CHAGUITE,LA LIBERTAD,JAYAQUE
-89.6016666666667,13.515,11288,CENTRO ESCOLAR CANTON EL PITAL,LA LIBERTAD,TEOTEPEQUE
-89.2838888888889,13.6719444444444,20199,COLEGIO NUESTRA SEÑORA DEL ROSARIO DE FATIMA,LA LIBERTAD,SANTA TECLA
-89.2905555555556,13.6891666666667,88029,ESCUELA SALESIANA MARIA MAZZARELLO,LA LIBERTAD,SANTA TECLA
-89.4483333333333,13.7191666666667,68199,CENTRO ESCOLAR CASERIO CASA BLANCA CANTON LOS ALPES,LA LIBERTAD,TEPECOYO
-89.1724138888889,13.792475,11318,COMPLEJO EDUCATIVO COLONIA LOS NARANJOS,SAN SALVADOR,APOPA
-89.1150027777778,13.6760333333333,88040,CENTRO ESCOLAR CATOLICO JOSE MARIA VILASECA,SAN SALVADOR,ILOPANGO
-89.2286111111111,13.6738888888889,11596,CENTRO ESCOLAR BENJAMIN SOL MILLET,SAN SALVADOR,SAN SALVADOR
-89.2077777777778,13.7044444444444,20577,COLEGIO MONTESSORIANO,SAN SALVADOR,SAN SALVADOR
-89.2166666666667,13.6888888888889,88140,CENTRO ESCOLAR CATOLICO MADRE MARIA CATARINA GIMAGGIO,SAN SALVADOR,SAN SALVADOR
-89.1355555555556,13.7125,11715,CENTRO ESCOLAR REPARTO LOS SANTOS,SAN SALVADOR,SOYAPANGO
-89.1430555555556,13.7230555555556,13713,CENTRO ESCOLAR URBANIZACION LAS MARGARITAS,SAN SALVADOR,SOYAPANGO
-88.847,13.8405,88084,COMPLEJO EDUCATIVO CATOLICO PIO XII,CABAÑAS,ILOBASCO
-88.2696388888889,13.4811944444444,12922,CENTRO ESCOLAR FEDERICO ARNOLDO GARCIA PRIETO HIRLEMANN,SAN MIGUEL,MONCAGUA
-89.2591666666667,13.6772222222222,20222,COLEGIO HEROES DE CUSCATLAN,LA LIBERTAD,ANTIGUO CUSCATLÁN
-89.2802777777778,13.7127777777778,68077,COMPLEJO EDUCATIVO AMIGOS DEL VOLCAN,LA LIBERTAD,SANTA TECLA
-89.2752777777778,13.6805555555556,21389,COLEGIO JOHN WESLEY,LA LIBERTAD,SANTA TECLA
-89.1783480886247,13.7005284929277,88063,CENTRO ESCOLAR CATOLICO DE EX ALUMNOS SALESIANOS,SAN SALVADOR,SAN SALVADOR
-89.1946722222222,13.7025805555556,20687,COLEGIO MARIA INMACULADA,SAN SALVADOR,SAN SALVADOR
